timestamp,x,y,z
1509765505660515,-4.1875,0,-1.6875
1509765505682588,-3.6875,0,-1.4375
1509765505697603,-4.3125,-0.25,-1.5
1509765505720634,-5.5625,-0.0625,-1.0625
1509765505742631,-6.9375,-0.625,-1.25
1509765505757150,-6,-0.5,-1.375
1509765505780723,-5.4375,0,-0.5625
1509765505802714,-3.9375,0,-0.9375
1509765505823755,-3.0625,0.625,-0.9375
1509765505840747,-2,0.25,-1.3125
1509765505863292,-2.3125,0.5625,-1.5625
1509765505877330,-0.6875,0.1875,-1.375
1509765505900348,0.25,0.5,-1.9375
1509765505922379,0.25,0.6875,-1.6875
1509765505944395,0,1.3125,-1.8125
1509765505960416,1.0625,1.1875,-1.6875
1509765505982432,1.125,0.75,-1.9375
1509765506003468,-1.6875,0.8125,-1.8125
1509765506020460,-1.75,0.75,-1.3125
1509765506042476,-1.125,1,-1.375
1509765506064009,-1.375,1.5625,-1.125
1509765506080028,0.5625,2.25,-0.75
1509765506103046,-2.5625,2.125,-0.4375
1509765506124073,-2.0625,1.75,0.25
1509765506140073,-2.5,1.9375,0.0625
1509765506163110,-2.375,2.25,-0.1875
1509765506183635,-2.8125,3.1875,-0.1875
1509765506200652,-2.75,3.625,-0.4375
1509765506222649,-1.0625,3.6875,-1.5
1509765506245682,-0.4375,4.5,-1.375
1509765506260680,0.5625,4.5625,-1.625
1509765506282699,-0.6875,4.5625,-1.9375
1509765506303713,-1.625,3.9375,-1.75
1509765506320726,-2.875,4.3125,-2.125
1509765506342742,-2.4375,5.0625,-1.8125
1509765506365259,-1.9375,4.375,-2.5625
1509765506380465,-1.9375,3,-3.5
1509765506402481,-2.75,1.6875,-3.5625
1509765506425497,-1.625,0.4375,-3.5625
1509765506440508,-1.875,0.125,-4.125
1509765506463025,-1.5625,-0.0625,-4.25
1509765506485552,-1.875,0.125,-4.5
1509765506499563,-2.0625,0.1875,-3.9375
1509765506522579,-1.75,0.1875,-3.75
1509765506545596,-1.875,0,-3
1509765506559607,-2.625,-0.625,-2.0625
1509765506582863,-3.5,-0.6875,-1.875
1509765506604879,-3.4375,-1.3125,-1.75
1509765506619890,-2.9375,-1,-1.625
1509765506642905,-2.3125,-1.5,-1.125
1509765506665426,-1.6875,-1.3125,-0.6875
1509765506670556,-1.0625,-1,0.5625
1509765506687567,-1.0625,-0.625,0.125
1509765506708582,-0.125,-0.25,0.3125
1509765506730611,-0.1875,0.25,0.4375
1509765506747611,0.625,0.3125,0.625
1509765506768650,1.375,-0.375,-0.0625
1509765506790691,0.0625,-0.4375,0.3125
1509765506806701,0.3125,-0.25,0.1875
1509765506827728,0.125,-0.25,-0.25
1509765506850744,-0.1875,-0.25,-0.1875
1509765506867263,0.5,-0.25,-0.0625
1509765506887877,1.5625,-0.25,-0.125
1509765506918882,2.25,-0.3125,0.3125
1509765506926883,1.4375,0.125,0.5625
1509765506949900,1.25,0.5625,0.375
1509765506970977,0.5625,0.8125,0.8125
1509765506993010,2.1875,0.9375,-0.25
1509765507007999,2.3125,1.1875,-0.1875
1509765507031038,1.5,1.3125,-0.6875
1509765507047028,1.6875,1.0625,0.0625
1509765507068558,-0.125,0.25,-0.1875
1509765507090314,-1.125,0.5,0.125
1509765507107319,-1.1875,0.125,0.375
1509765507128333,0.0625,0.125,0.6875
1509765507150345,2.25,-0.1875,0.5625
1509765507167392,2.8125,-0.375,0.6875
1509765507187972,2.75,0.25,0.8125
1509765507210976,3.875,0.25,0.4375
1509765507226972,3.75,0.3125,0.4375
1509765507247987,2.5,0.625,0.625
1509765507270515,4,0.0625,-0.875
1509765507287528,5,0.125,-0.4375
1509765507308567,4.875,-0.0625,0.3125
1509765507338589,3.75,-0.375,-0.1875
1509765507348571,2.25,0,0
1509765507368619,1.5625,-0.125,1.125
1509765507390646,1.75,0.125,1.5625
1509765507408661,1.375,-0.125,2.1875
1509765507428673,0.1875,-0.1875,2.4375
1509765507450690,-0.5625,-0.1875,2.25
1509765507468706,-0.3125,-0.125,2.125
1509765507488363,-0.6875,0.3125,1.9375
1509765507510379,-1.9375,0,2.125
1509765507528395,-2.4375,-0.25,1.6875
1509765507548406,-2.1875,-0.0625,0.4375
1509765507570947,-1.5,0,0
1509765507588961,-1.8125,0,0.125
1509765507607976,-2.375,-0.25,-1
1509765507638038,-3.6875,-0.0625,-2.0625
1509765507649040,-2.8125,0,-2
1509765507668561,-3.25,0.3125,-2.75
1509765507691099,-3.625,0.75,-3.1875
1509765507708127,-3.0625,0.125,-3.5625
1509765507728128,-3.125,0,-3.8125
1509765507746176,-2.375,0.3125,-4.125
1509765507776166,-2.875,0.6875,-3.3125
1509765507788189,-3,0.6875,-4.0625
1509765507806188,-2,1.0625,-4.1875
1509765507828241,-1.6875,0.9375,-3.875
1509765507848232,-2.4375,0.9375,-3.1875
1509765507866257,-1.3125,0.9375,-3.1875
1509765507888836,-2.125,0.625,-2.75
1509765507909841,-1.875,0.5625,-2.5
1509765507925849,-2.6875,0.4375,-2.75
1509765507948882,-2.375,0.4375,-1.3125
1509765507969887,-2.5,0.0625,-1.8125
1509765507985953,-3.125,0.1875,-2
1509765508008988,-2.375,-0.1875,-1.6875
1509765508029987,-1.0625,0.0625,-1.5
1509765508045996,-0.8125,-0.125,-1.0625
1509765508069056,-0.5,0.3125,-1.0625
1509765508090589,-0.375,0.5625,-1.1875
1509765508106583,-0.375,0.3125,-0.4375
1509765508127597,-1.1875,0.1875,-0.1875
1509765508148626,-2.125,0.0625,0.1875
1509765508165661,-1.25,-0.0625,-0.5625
1509765508187684,-1.3125,-0.1875,-0.4375
1509765508208703,-0.4375,-0.0625,-0.6875
1509765508225706,-0.1875,0,-0.0625
1509765508248722,-1,0.1875,0.0625
1509765508270245,-1.1875,0.875,-0.0625
1509765508285532,-0.0625,0.375,-0.8125
1509765508307540,0.875,0.4375,-0.0625
1509765508330558,1,0.4375,0.1875
1509765508345569,0.25,0.125,0.1875
1509765508368099,-0.375,0.3125,-0.3125
1509765508390188,-0.0625,0,-0.1875
1509765508404222,0.9375,0,0.125
1509765508428237,0.1875,-0.0625,0.4375
1509765508450234,-0.3125,0,0.3125
1509765508464749,0.25,-0.0625,0.3125
1509765508487480,0.4375,0,0.6875
1509765508510507,0.0625,-0.0625,0.8125
1509765508532508,0.0625,-0.125,0.3125
1509765508547518,-0.3125,0.25,0.75
1509765508570560,0.625,0,0.5
1509765508584637,0.25,-0.125,0.625
1509765508607648,0.25,0.25,0.6875
1509765508630684,0.75,0.25,0.5625
1509765508644683,0.3125,0.0625,0.5
1509765508668237,0.75,0.375,0.375
1509765508689841,1.3125,0.1875,0.1875
1509765508704832,1.6875,-0.1875,0
1509765508727849,1.1875,-0.125,0.625
1509765508749864,1.1875,-0.6875,0.6875
1509765508770940,0.75,-0.1875,1
1509765508788092,1.875,1.4375,0.25
1509765508810113,4.1875,1.125,-0.375
1509765508831142,3.5,2.1875,0.8125
1509765508848128,5.75,1.8125,-0.0625
1509765508870657,3.75,1.1875,0.375
1509765508891379,2.25,1.5,0.625
1509765508907365,2.3125,1.75,1
1509765508930380,3.25,1.75,1.0625
1509765508951400,3.125,1.625,0.375
1509765508967921,2.625,2,0
1509765508989940,1.5,2.0625,0.9375
1509765509010979,2,2.0625,1.125
1509765509027968,2.375,1.875,0.8125
1509765509049983,3.75,1.75,-0.375
1509765509071519,3.375,1.8125,0.0625
1509765509087611,3.5625,1.1875,0.4375
1509765509110647,2.8125,0.6875,0.8125
1509765509131661,3.5625,0.8125,0.5625
1509765509147654,3.1875,1.1875,0.75
1509765509170687,2.6875,0.875,0.5625
1509765509192957,3,0.9375,0.5
1509765509207982,2.8125,0.625,0.6875
1509765509229983,2,0.5,0.8125
1509765509252997,1.875,0.3125,1.25
1509765509268015,2.25,0.1875,1.0625
1509765509290587,2.6875,0.5,0.8125
1509765509312603,3.25,0.375,0.75
1509765509327614,2,0.5,1.1875
1509765509350631,1.5,0.0625,1.5
1509765509372767,1.3125,0.375,1.25
1509765509386774,0.9375,0,0.8125
1509765509409809,1.8125,-0.25,1.1875
1509765509432808,1.4375,-0.8125,0.375
1509765509446817,1.25,-0.875,0.875
1509765509470359,1.1875,-0.6875,1.125
1509765509492396,0.75,-1.5,0.6875
1509765509507406,-1,-1.6875,1.25
1509765509530410,-0.9375,-1.4375,1.375
1509765509552440,3.875,-1.375,1.125
1509765509567464,4.1875,-0.4375,1.1875
1509765509590201,6.25,0.8125,0.8125
1509765509613224,5.1875,1.0625,1.4375
1509765509627228,3.75,1.125,1.5625
1509765509650269,2.0625,0.9375,2.375
1509765509672911,2.5625,1.0625,1.5625
1509765509693923,2.9375,1.3125,1.1875
1509765509709961,3.6875,0.875,0.75
1509765509732950,2.3125,1,1.6875
1509765509753991,1.4375,0.25,1.625
1509765509770508,0.1875,-0.5,1.5
1509765509792539,0.25,-0.9375,0.6875
1509765509813551,1.125,-1.375,0
1509765509830560,1.8125,-0.625,0.375
1509765509852577,2.25,-0.6875,0.3125
1509765509873432,1.6875,-0.125,0.4375
1509765509890437,1.75,0.3125,0.3125
1509765509912476,0.8125,0.1875,-0.0625
1509765509933464,-0.875,-0.8125,-0.625
1509765509950481,-2.25,-0.5625,-0.25
1509765509972027,-0.9375,-1,1.3125
1509765509994367,-1.3125,-0.625,0.4375
1509765510010406,-2.25,0.375,0.75
1509765510032397,-1.5,0.75,0.6875
1509765510053436,-2,0.9375,0.3125
1509765510070454,0,0.625,1.625
1509765510092403,-0.0625,0.4375,2.5625
1509765510113418,-1.5,0.625,3.6875
