timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1509765197709725,1,0,-5,1,-2,-1,-2,0
1509765197711725,-2,-2,-19,-2,-1,-2,-2,-1
1509765197711725,-2,-3,16,-6,-1,1,1,-1
1509765197732299,-3,1,3,3,-2,-3,2,-3
1509765197732299,0,4,7,-4,-4,0,0,0
1509765197734281,-2,-7,2,4,0,-8,-3,-4
1509765197734281,-1,-5,-14,-4,-5,-4,-2,-1
1509765197746290,-4,-3,-9,-2,0,-3,-3,-1
1509765197746290,2,-1,21,1,-3,-6,-4,-4
1509765197755296,-1,-5,-3,3,-2,4,-1,-1
1509765197755296,0,-7,-28,-15,0,1,-1,-2
1509765197770307,-2,-2,7,-1,-2,-3,-1,-1
1509765197770307,1,1,-4,-1,-2,-2,-1,-2
1509765197771308,0,2,3,2,-2,-1,-2,-1
1509765197771308,-1,0,1,6,-1,-3,0,-1
1509765197823860,-2,-2,12,4,-3,1,1,-1
1509765197823860,-5,4,-2,2,-3,-2,-3,-1
1509765197825859,-3,-6,-1,-12,2,-4,-2,-1
1509765197825859,-3,-6,3,3,0,1,-1,0
1509765197826359,0,-2,-3,0,2,-1,-1,-1
1509765197826359,0,0,-20,-3,-2,-2,-1,-1
1509765197839450,0,8,35,4,-4,-3,-2,-1
1509765197839450,1,-6,-4,-2,-3,-3,0,0
1509765197840460,-1,-7,-9,-4,-1,-5,-4,-2
1509765197840460,-15,6,-8,-1,-3,-4,-3,-4
1509765197859473,-2,-1,-13,-2,-2,0,-1,0
1509765197859473,1,0,6,-2,1,0,-1,-1
1509765197868481,-3,0,6,4,-2,0,0,-2
1509765197868481,4,0,4,-2,1,1,0,-1
1509765197869481,1,4,-11,0,-2,-3,-1,-1
1509765197869481,-5,-9,-10,-6,-5,-1,-4,-1
1509765197870476,5,-1,-2,-2,-1,1,1,0
1509765197870476,0,-2,1,-7,0,-1,-3,-1
1509765197881491,-1,-5,-4,-5,-3,2,0,0
1509765197881491,0,5,9,16,-1,-3,0,1
1509765197890486,0,-2,-1,-6,0,3,1,0
1509765197890486,0,-1,-9,0,-3,0,0,-1
1509765197891493,-1,2,12,4,-1,-3,-2,-3
1509765197891493,0,-6,0,-4,-5,-2,-1,-3
1509765197920041,-3,-4,0,2,6,1,2,1
1509765197920041,0,4,4,1,-1,-1,1,0
1509765197922023,-2,-4,-15,-1,0,-1,-1,-2
1509765197922023,0,2,-1,0,1,-3,-1,0
1509765197935037,-2,-4,2,-5,-3,-3,-2,-1
1509765197935037,0,3,-8,-5,-1,1,-2,-1
1509765197937039,0,1,15,23,1,0,1,-1
1509765197937039,-1,-2,-15,-30,3,1,1,-2
1509765197950062,-4,-5,1,5,-3,3,2,0
1509765197950062,1,2,-2,-6,-1,-5,-3,-2
1509765197952050,1,-3,-8,3,-5,-1,-1,1
1509765197952050,0,4,8,2,3,1,-2,1
1509765197972073,-2,-2,4,0,-1,-2,-1,-2
1509765197972073,11,-1,-9,0,-2,0,-2,1
1509765197974065,-6,4,8,-1,5,2,1,-1
1509765197974065,-4,-13,-11,-4,-1,-2,-1,-3
1509765197995081,-2,-1,-12,-9,-2,-3,-3,-1
1509765197995081,6,-4,3,3,-1,-2,-1,-2
1509765197997085,1,1,-16,-4,-1,0,0,0
1509765197997085,-2,3,32,4,-4,-2,-3,-3
1509765198010090,1,-2,6,7,2,0,1,0
1509765198010090,-2,4,5,1,-2,-4,-2,-2
1509765198011091,-1,-3,-9,-9,-1,-2,-3,-1
1509765198011091,-1,-1,1,3,0,0,-1,0
1509765198032116,-1,-2,-8,-2,-3,1,1,-2
1509765198032116,-6,1,-4,-1,0,6,0,-1
1509765198034116,-2,-4,-3,-4,-1,-4,-3,-2
1509765198034116,-1,-2,0,4,-2,1,-2,2
1509765198055130,-1,7,19,2,-3,-2,-3,-1
1509765198055130,-5,-4,-23,7,-1,-4,0,-1
1509765198056132,-1,-6,-16,-22,-2,0,-2,0
1509765198056132,-1,-4,7,5,0,-5,-3,-3
1509765198099162,-1,0,-5,-3,1,4,3,-1
1509765198099162,-3,5,10,1,-1,-2,-4,-1
1509765198124686,2,2,11,6,-1,-2,-1,1
1509765198124686,-1,-9,-16,-4,-1,0,3,1
1509765198125687,-6,-2,5,6,0,-1,2,0
1509765198125687,-4,0,-14,-12,-4,-2,-3,-3
1509765198129690,-1,-4,-15,-2,-4,-2,-2,-2
1509765198129690,10,1,2,7,3,4,1,0
1509765198131016,-8,-4,-3,-12,-2,-2,-1,-1
1509765198131016,-5,3,0,0,1,1,0,0
1509765198132014,0,-9,-17,-6,-5,-3,-3,-2
1509765198132014,-2,9,29,4,-1,-2,-1,-2
1509765198155030,-4,-8,-8,1,1,2,2,-1
1509765198155030,-3,2,19,0,0,5,1,0
1509765198155030,2,-6,-14,-1,0,-3,-1,1
1509765198155030,-1,1,0,-9,-3,-2,-3,-1
1509765198159044,-3,0,-7,1,-1,-3,-1,-2
1509765198159044,-2,-4,3,1,0,-4,-1,1
1509765198175062,2,2,-4,-10,-1,0,0,-1
1509765198175062,2,5,-4,2,-4,1,-2,-3
1509765198177046,0,1,14,0,3,0,-1,0
1509765198177046,-2,-4,-11,0,1,-4,-2,-2
1509765198197063,-2,-4,5,6,-1,1,0,-1
1509765198197063,0,9,7,-5,0,-2,0,-1
1509765198199062,1,-2,-15,-2,0,-2,-1,-1
1509765198199062,-8,-2,9,-3,0,-6,-3,-3
1509765198220087,-3,-3,-4,-1,-3,-4,-2,-3
1509765198220087,0,0,-6,-5,-1,1,-1,1
1509765198222089,-2,1,12,4,1,2,-2,-1
1509765198222089,2,-4,-14,-4,-2,0,1,1
1509765198251752,-2,-2,16,-1,-4,-2,-2,1
1509765198251752,4,-2,0,11,-3,-2,-2,-3
1509765198252753,1,4,-6,-12,-2,-2,-2,2
1509765198252753,2,-2,-1,-8,-4,0,-2,0
1509765198253755,0,-5,6,10,-1,-1,0,-1
1509765198253755,-2,-1,-29,-12,-1,-1,-1,-2
1509765198264761,0,-1,3,2,-1,-2,-1,-2
1509765198264761,-1,0,1,3,2,1,1,-1
1509765198272768,-3,0,-16,-10,-2,-1,-1,0
1509765198272768,-3,3,4,4,-1,-1,-1,-1
1509765198273768,-1,-2,13,-3,-4,-2,-3,-2
1509765198273768,-1,1,-3,-6,-2,-7,-4,-1
1509765198294783,-2,1,3,6,1,3,1,-3
1509765198294783,-2,3,2,-4,-1,-1,0,-2
1509765198296785,-2,-7,-14,-1,-4,-2,0,-2
1509765198296785,5,-5,2,-2,-1,0,-2,0
1509765198309794,-6,6,2,1,3,-3,-1,-1
1509765198309794,0,2,2,-3,-2,0,0,0
1509765198316312,0,-1,-6,3,-1,-1,-1,-1
1509765198316312,-3,-3,5,-1,-6,-2,-3,-3
1509765198332998,0,-5,-7,-13,4,-2,-1,-1
1509765198332998,1,-3,-11,-8,-5,-4,-2,-1
1509765198333996,-5,2,3,2,-1,0,0,0
1509765198333996,-1,-2,-2,25,3,-1,0,-1
1509765198394038,2,-3,-13,-25,-5,-1,-2,0
1509765198394038,0,5,23,4,-3,-4,-2,-2
1509765198395040,0,-8,-18,-8,-5,0,0,-2
1509765198395040,-3,-5,-2,2,2,5,1,0
1509765198396040,1,1,4,8,-1,-1,-1,-2
1509765198396040,-1,0,-8,1,0,-3,-2,1
1509765198425064,2,-1,9,-5,-1,1,-2,-2
1509765198425064,-4,0,1,-4,1,-3,0,-1
1509765198425563,0,11,-5,3,-2,1,0,0
1509765198425563,-4,-5,-5,-5,-5,-2,-2,-2
1509765198429597,-8,5,-8,-1,3,2,-1,3
1509765198429597,-3,-10,13,-8,-2,-1,1,-1
1509765198430069,-2,0,22,10,0,-1,-2,-2
1509765198430069,2,4,5,-4,-2,-2,-1,1
1509765198445183,3,-3,13,7,-3,-3,-3,-2
1509765198445183,-3,0,-2,12,1,-1,-2,-1
1509765198452176,0,-6,-18,-23,1,-2,-1,0
1509765198452176,0,5,-5,2,0,-1,-2,-1
1509765198454187,3,-2,2,-4,0,1,1,1
1509765198454187,0,-1,-2,4,-2,-1,-1,-2
1509765198476232,-3,-6,10,4,-2,-2,-2,0
1509765198476232,-3,-5,-20,-2,-3,2,-1,-1
1509765198476232,2,0,-16,-3,1,-1,-2,0
1509765198476232,-1,-3,11,-9,-4,-1,-2,0
1509765198497220,2,-1,7,7,0,1,0,-1
1509765198497220,1,6,3,-3,-1,-5,-1,-1
1509765198498209,7,-13,-17,5,2,-3,-2,0
1509765198498209,-1,0,-1,-7,-1,-1,0,-2
1509765198520245,-11,-1,1,4,-1,-1,-1,0
1509765198520245,-5,4,6,3,0,3,2,-1
1509765198521242,3,-2,-8,-3,-2,-1,-1,-1
1509765198521242,-3,1,10,-7,-1,-2,-1,-1
1509765198542761,2,-4,-10,-7,-4,-4,-1,-2
1509765198542761,3,-4,-6,8,5,2,0,-2
1509765198543762,-6,-1,17,3,0,-4,-3,-3
1509765198543762,-1,-3,24,-3,1,3,1,0
1509765198564777,-1,-1,-26,-1,-4,-2,0,-2
1509765198564777,1,4,2,13,-1,-5,-5,-2
1509765198565777,-4,-6,-24,-31,-3,-2,-1,0
1509765198565777,-2,-2,-6,-3,3,3,1,0
1509765198587793,2,-3,6,4,1,-2,0,-2
1509765198587793,-1,0,2,8,-2,0,-2,-1
1509765198601806,0,-3,12,4,1,1,-1,-1
1509765198601806,0,1,-8,-5,-2,-3,-3,-2
1509765198611814,-3,-5,3,3,-2,-5,-2,-2
1509765198611814,-3,1,6,-5,-1,0,-1,-2
1509765198612814,1,1,3,6,-3,-2,-1,-2
1509765198612814,-1,0,-17,-7,-1,0,1,-1
1509765198633468,1,-6,-5,0,0,3,0,-1
1509765198633468,-1,6,5,-5,-4,2,0,-2
1509765198633468,1,2,-9,-4,1,1,-1,0
1509765198633468,2,-14,-5,11,4,-6,0,-1
