timestamp,x,y,z,w
1509765497648827,-0.59729,-0.730957,-0.28656,-0.164307
1509765497663437,-0.59729,-0.730957,-0.28656,-0.164307
1509765497685435,-0.59729,-0.730896,-0.28656,-0.164307
1509765497708453,-0.59729,-0.730896,-0.286621,-0.164307
1509765497723460,-0.59729,-0.730896,-0.286621,-0.164307
1509765497745982,-0.59729,-0.730896,-0.286621,-0.164307
1509765497768560,-0.59729,-0.730896,-0.286621,-0.164307
1509765497783559,-0.59729,-0.730896,-0.286621,-0.164307
1509765497805587,-0.59729,-0.730896,-0.286621,-0.164307
1509765497828600,-0.59729,-0.730896,-0.286621,-0.164307
1509765497843643,-0.59729,-0.730896,-0.286682,-0.164307
1509765497866146,-0.597229,-0.730896,-0.286682,-0.164368
1509765497888166,-0.597229,-0.730896,-0.286621,-0.164368
1509765497903165,-0.59729,-0.730896,-0.286682,-0.164307
1509765497925181,-0.59729,-0.730896,-0.286682,-0.164307
1509765497943712,-0.59729,-0.730896,-0.286682,-0.164307
1509765497962824,-0.597229,-0.730896,-0.286682,-0.164368
1509765497985837,-0.597229,-0.730896,-0.286682,-0.164368
1509765498003880,-0.597229,-0.730896,-0.286682,-0.164368
1509765498022858,-0.597229,-0.730896,-0.286682,-0.164368
1509765498045898,-0.597229,-0.730896,-0.286682,-0.164368
1509765498063949,-0.597229,-0.730896,-0.286682,-0.164368
1509765498082972,-0.597229,-0.730896,-0.286682,-0.164368
1509765498105980,-0.597229,-0.730896,-0.286682,-0.164429
1509765498123991,-0.597229,-0.730896,-0.286682,-0.164429
1509765498143550,-0.597229,-0.730896,-0.286682,-0.164429
1509765498166147,-0.597229,-0.730896,-0.286682,-0.164429
1509765498183141,-0.597229,-0.730896,-0.286682,-0.164429
1509765498203157,-0.597229,-0.730896,-0.286682,-0.164429
1509765498226169,-0.597229,-0.730896,-0.286682,-0.164429
1509765498243693,-0.597229,-0.730896,-0.286682,-0.164429
1509765498262760,-0.597229,-0.730896,-0.286682,-0.164429
1509765498285751,-0.597229,-0.730896,-0.286682,-0.16449
1509765498303764,-0.597229,-0.730896,-0.286682,-0.164429
1509765498324778,-0.597229,-0.730896,-0.286682,-0.164429
1509765498345835,-0.597229,-0.730896,-0.286682,-0.16449
1509765498363426,-0.597229,-0.730896,-0.286682,-0.16449
1509765498383461,-0.597229,-0.730896,-0.286682,-0.16449
1509765498405458,-0.597229,-0.730896,-0.286682,-0.164429
1509765498423469,-0.597229,-0.730896,-0.286682,-0.164429
1509765498444985,-0.597229,-0.730896,-0.286682,-0.164429
1509765498465754,-0.597229,-0.730896,-0.286682,-0.16449
1509765498483756,-0.597229,-0.730896,-0.286682,-0.16449
1509765498504755,-0.597229,-0.730896,-0.286682,-0.16449
1509765498525787,-0.597229,-0.730896,-0.286682,-0.16449
1509765498543815,-0.597229,-0.730896,-0.286682,-0.16449
1509765498570398,-0.597229,-0.730896,-0.286682,-0.16449
1509765498585410,-0.597229,-0.730896,-0.286682,-0.164429
1509765498603423,-0.597229,-0.730896,-0.286682,-0.16449
1509765498624436,-0.597229,-0.730896,-0.286682,-0.16449
1509765498645995,-0.597229,-0.730896,-0.286682,-0.16449
1509765498663536,-0.597229,-0.730896,-0.286682,-0.16449
1509765498684550,-0.597229,-0.730896,-0.286682,-0.16449
1509765498705584,-0.597229,-0.730896,-0.286682,-0.16449
1509765498723578,-0.597229,-0.730896,-0.286682,-0.16449
